[00:00:00,000] 这房子是租的还买的
[00:01:18,599] 反正也是很三分钟热度那种
[00:01:21,000] 然后摆烂了之后
[00:01:22,400] 就是大学之后就随便找了工作
[00:01:24,400] 喝了一喝
[00:01:25,200] 然后又去考又去考了个研
[00:01:27,799] 去了中科院的协力所
[00:01:29,400] 然后去了之后还是那个剧本
[00:01:31,400] 一开始觉得很好玩
[00:01:32,599] 然后到后面又是你要去具体
[00:01:34,599] 比如你就做实验或者怎么样
[00:01:36,200] 又开始觉得又重复又无聊
[00:01:38,799] 就反正我的情绪还很差
[00:01:40,400] 然后他还在修学了挺好时间的
[00:01:43,599] 抑郁了说白了
[00:01:44,799] 然后后来就是说也是
[00:01:46,599] 反正也是混到笔
[00:01:47,799] 然后又上班也是一开始觉得
[00:01:49,200] 要上
[00:01:50,000] 可能好像有两年吧
[00:01:51,799] 还是什么感觉不行
[00:01:53,000] 反正我感觉我都是两
[00:01:55,200] 就是我觉得可能生感情的学都是
[00:01:57,000] 就没有一件事情是坚持下来的
[00:01:58,599] 对
[00:01:59,400] 其实现在我觉得有点这个意思
[00:02:01,200] 我觉得这个东西
[00:02:02,000] 前转了左右又无聊了是吧
[00:02:03,799] 对
[00:02:04,200] 因为其实你一开始就是你可以搞策略
[00:02:06,200] 然后你看他有没有效
[00:02:07,599] 然后你就不断的调试
[00:02:08,599] 你有很多新的想法
[00:02:10,000] 他有很多变化
[00:02:11,199] 到现在就就我的能力
[00:02:13,199] 就是已经优化的差不多了
[00:02:15,599] 感觉也没啥意思
[00:02:17,000] 好
[00:02:17,400] 然后你最后一份工作是什么时候
[00:02:19,400] 我辞职应该是在24年的4月份
[00:02:25,199] 好像
[00:02:25,800] 那就是这里开始赚钱了之后
[00:02:27,599] 对
[00:02:28,199] 就是一方面是有一些盈利
[00:02:29,599] 一方面是办实在上不下去
[00:02:31,400] 这个事情是什么时候开始结束的
[00:02:33,000] 因为肯定前置的
[00:02:34,000] 还有一些你要先研究一下之类的
[00:02:36,000] 就是正式把钱放进去
[00:02:37,199] 开始做实在就是23年的10月份
[00:02:40,599] 回到之前你为什么会突然去了解这个东西
[00:02:43,400] 这个是这样
[00:02:44,199] 就是我觉得首先因为23年春季的那时候
[00:02:46,599] 就也是有一些想要投资
[00:02:48,199] 理财的想法
[00:02:49,199] 那时候基金应该还比较火
[00:02:50,800] 就23年春季的那时候
[00:02:52,000] 就开始稍微研究一下基金
[00:02:54,000] 就感觉大家描绘的那个前景非常的
[00:02:56,800] 这个好
[00:02:57,400] 就非常波澜创破的一个前景
[00:02:59,599] 搞一个基金拿它什么10年8年这种
[00:03:02,199] 然后就投入了之后
[00:03:03,400] 然后就亏
[00:03:04,599] 投入多少钱
[00:03:05,400] 那时候没多少
[00:03:06,199] 那时候可能就几万块钱
[00:03:07,400] 因为那时候自己也没什么钱
[00:03:09,199] 就是你之前对这个投资一切不通的
[00:03:11,199] 对
[00:03:11,800] 对
[00:03:12,199] 然后一直到大概到下半年
[00:03:14,800] 我感觉这个基金太不靠谱了
[00:03:16,400] 我感觉我然后就自己开了个股票账户
[00:03:19,400] 就开了自己买股票
[00:03:20,800] 然后当时买的也是那种
[00:03:22,599] 就是所谓的价值投资
[00:03:25,000] 对
[00:03:25,599] 什么五两页
[00:03:26,599] 什么一粒
[00:03:27,400] 什么中棉
[00:03:28,400] 蓝筹股
[00:03:29,800] 对
[00:03:30,199] 就是蓝筹股
[00:03:30,800] 然后就买
[00:03:31,400] 然后刚好后面赶上疫情放开了
[00:03:33,199] 然后涨了一大波
[00:03:34,400] 当然感觉自己行了
[00:03:35,599] 对
[00:03:35,800] 然后那时候给父母借钱
[00:03:38,000] 其实说借钱就是要钱
[00:03:39,400] 结果后来的话
[00:03:40,400] 也是就一路向下
[00:03:42,000] 这个是正常的剧本
[00:03:43,199] 没错
[00:03:43,800] 对
[00:03:44,199] 正常
[00:03:44,400] 对
[00:03:45,199] 然后感觉又不行了
[00:03:48,199] 我觉得那次是让我对整个的
[00:03:50,800] 什么所谓的价值投资
[00:03:52,199] 当然就是我不是说价值投资完全不行
[00:03:54,599] 我只是说那种所谓的
[00:03:56,000] 可能那种半调子那种彻底
[00:03:57,800] 就是
[00:03:58,199] 就像你这样子怎么
[00:03:59,400] 对
[00:04:00,199] 就像我之前这样
[00:04:01,599] 所以说我觉得
[00:04:02,400] 我就感觉这条路已经完全失败了
[00:04:05,199] 然后包括
[00:04:06,199] 我觉得连带着我对整个的这种
[00:04:08,199] 所谓的量化对应就是主观投资
[00:04:10,800] 我对这整个的也是
[00:04:12,599] 有点失去信任了
[00:04:14,400] 因为其实我觉得从我的角度来讲
[00:04:16,800] 就是做股票最难的一点
[00:04:18,199] 就是你没有办法判断
[00:04:20,000] 你做的是对的还是错的
[00:04:21,399] 因为你赚钱
[00:04:22,399] 完全有可能是因为运气好
[00:04:23,800] 那你亏钱有可能
[00:04:25,000] 只是因为你的运气不好
[00:04:26,600] 但是比如说像我原来的那种搞法
[00:04:28,800] ok 我觉得这几十股票ok
[00:04:30,600] 然后我买了
[00:04:31,399] 那好
[00:04:32,000] 后面比如说有的亏有的
[00:04:33,000] 赚或者怎么样
[00:04:33,600] 我完全没有办法
[00:04:34,800] 以这个结果来去修正我的行为
[00:04:36,800] 那我就根本没有办法进步
[00:04:38,600] 对吧
[00:04:38,800] 我没有办法得到一个
[00:04:40,199] 比较稳固的一个结论
[00:04:41,800] 来指导我怎么做
[00:04:43,000] 包括你可以看到很多
[00:04:44,399] 什么流传的一些
[00:04:45,399] 什么价值投资的故事
[00:04:46,800] 什么买了毛台拿了十几年
[00:04:48,800] 什么发了多少倍
[00:04:49,800] 但是你就没有办法判断
[00:04:51,600] 这样的例子
[00:04:52,399] 他究竟是真的有水源
[00:04:54,000] 还是只是运气好
[00:04:55,000] 而且就是他总结经验的
[00:04:56,399] 这个速度太慢了
[00:04:57,399] 对
[00:04:58,199] 而且当时也行情都不好
[00:05:00,000] 当时就有听说
[00:05:01,399] 就有些量化积极是赚钱的
[00:05:03,199] 然后就去研究一下
[00:05:05,000] 就是这样
[00:05:05,600] 对 就是这样
[00:05:06,199] 就是因为你自己感觉
[00:05:07,800] 主观的那个操股
[00:05:08,800] 都是亏钱的
[00:05:09,600] 积极也是亏钱的
[00:05:10,600] 赚不到
[00:05:11,199] 那肯定不甘心
[00:05:12,199] 对
[00:05:12,800] 所以说就开始去慢慢的
[00:05:15,199] 去接触
[00:05:16,000] 后面慢慢开始自己搞
[00:05:17,399] 其实这个就是量化这个东西
[00:05:19,199] 大部分人都听过
[00:05:20,600] 它是一个比较熟的名词
[00:05:22,600] 对
[00:05:23,000] 但是绝大部分人他不知道是干什么的
[00:05:24,600] 是的
[00:05:25,399] 你自己当初是
[00:05:26,600] 就说是怎么了解到这个东西
[00:05:28,600] 然后怎么慢慢的接触的
[00:05:30,199] 去深入的了解
[00:05:32,000] 其实我最开始了解
[00:05:33,399] 就是通过就是听说一些量化基金
[00:05:35,199] 然后你就可以去翻那些量化基金
[00:05:38,399] 就是公募的公募基金
[00:05:39,800] 他们的持仓
[00:05:41,199] 收益
[00:05:41,800] 还有
[00:05:42,199] 对
[00:05:42,600] 还有收益
[00:05:43,000] 包括他们持仓的股票
[00:05:44,399] 然后你可以看
[00:05:45,399] 他们有时候也会发表一些观点
[00:05:47,000] 他们要录演
[00:05:47,800] 那么要跟投资者宣传
[00:05:49,199] 对吧
[00:05:49,600] 你可以去看他们投资策略
[00:05:51,600] 然后慢慢你就会了解到
[00:05:53,000] OK
[00:05:53,399] 有这样的一种投资方法
[00:05:54,800] 你还是给大家解释一下
[00:05:56,399] 就是什么是量化那些概念
[00:05:58,199] 那些东西
[00:05:59,000] OK
[00:05:59,800] 其实量化它就是数量化
[00:06:02,000] 什么叫数量化
[00:06:02,800] 就是你在买卖股票的时候
[00:06:06,399] 对吧
[00:06:06,800] 你在做交易决策的时候
[00:06:08,600] 你最终使用的是数量化的客观指标
[00:06:11,800] 搭建出来的一个模型
[00:06:13,199] 最终是这样的一个客观的模型
[00:06:15,399] 在做投资决策
[00:06:17,000] 而不是人在做投资决策
[00:06:18,800] 就是说
[00:06:20,000] 主观的意思就是说
[00:06:21,000] 比方说我买这支股票
[00:06:22,600] 我人脑决定
[00:06:24,000] 我现在看着觉得它会涨我买
[00:06:25,800] 对
[00:06:26,000] 我涨了
[00:06:26,399] 我觉得它会跌
[00:06:27,000] 我就卖
[00:06:27,600] 对
[00:06:27,800] 这个就是主观
[00:06:29,000] 对
[00:06:29,199] 然后量化就是说
[00:06:30,600] 它结合
[00:06:32,199] 比方说K线
[00:06:33,199] 或者是很多很多支股票
[00:06:34,399] 以往的数据经验
[00:06:36,399] 然后总结出来的
[00:06:37,399] 我比方说我在这个点
[00:06:38,600] 我跌的概率有多少
[00:06:39,600] 涨的概率有多少
[00:06:40,600] 以这个去买入卖出
[00:06:42,800] 是的
[00:06:43,800] 而且就是最终
[00:06:44,899] 当他做出决策的时候
[00:06:46,000] 那人就不去干扰他了
[00:06:47,399] 就是你把模型搭建了钱的时候
[00:06:49,000] 他就不需要人了
[00:06:50,000] 那他就可以用计算机来做
[00:06:51,699] 所有的决策
[00:06:52,399] 对吧
[00:06:52,800] 那它是一句什么
[00:06:54,199] 或者说你自己搭建的这个模型
[00:06:55,800] 你从一开始了解这个模型
[00:06:57,199] 到你自己的
[00:06:58,199] 有自己的想法在里面
[00:06:59,399] 它是个什么样的过程
[00:07:00,399] 我可以这样讲
[00:07:01,199] 就比如说
[00:07:02,000] 说你超过股是吧
[00:07:03,199] 对
[00:07:03,800] 那比如说你买一支股票
[00:07:05,000] 那你为什么要买呢
[00:07:06,000] 跟你以前一样
[00:07:07,000] 价值投资
[00:07:07,800] 那我们就说
[00:07:08,399] 其实就我们就说价值投资者
[00:07:10,000] 他其实有时候也是要看一些指标的
[00:07:12,000] 对吧
[00:07:12,600] 对
[00:07:13,000] 我也觉得比方说他相对便宜的时候去买
[00:07:15,000] 对
[00:07:15,600] 比如说你肯定要看适应率
[00:07:17,000] 对吧
[00:07:17,500] 或者说你看适应率PB
[00:07:19,000] 或者你看
[00:07:20,000] 比如说ROE这些东西对吧
[00:07:22,000] 就是反正不管你是对一支股票
[00:07:25,000] 就是你主观上有什么想法
[00:07:27,000] 那如果说你可以把这些想法
[00:07:30,000] 用客观的语言描述出来
[00:07:32,000] 尤其是你能用数量化的语言描述出来
[00:07:35,000] 那其实你就可以把它变成的量化
[00:07:37,000] 我举个例子
[00:07:38,000] 我就举个简单例子
[00:07:39,000] 比如说你觉得买大使者公司比较好
[00:07:41,000] 还是买小使者公司比较好
[00:07:43,000] 假设说我们假设说有人
[00:07:44,000] 他就觉得买大使者公司比较好
[00:07:46,000] 因为比如说比较稳
[00:07:47,000] 对吧
[00:07:48,000] 是可以有这种想法对吧
[00:07:49,000] 对
[00:07:50,000] 那比如说我们主观的做法会怎么做
[00:07:52,000] 他可能就买了
[00:07:53,000] 对吧
[00:07:54,000] 买了那我就看他涨不涨
[00:07:55,000] 对吧
[00:07:56,000] 那有可能比如说涨了
[00:07:57,000] 他就觉得自己这个想法对了
[00:07:59,000] 如果没涨
[00:08:00,000] 然后他自己之前看了几只小使者公司
[00:08:03,000] 他可能会觉得自己这些想法错了
[00:08:05,000] 然后可能他就形成了
[00:08:06,000] 他的这样一个投资的想法对吧
[00:08:08,000] 但是比如说量化的话
[00:08:09,000] 那你就可以这样做
[00:08:10,000] 我们可以去找全市场
[00:08:12,000] 比如说10%最大的和10%最小的
[00:08:15,000] 然后比如说A股游也有二三十年的历史
[00:08:18,000] 那你就去跑
[00:08:19,000] 比如说你去跑这样数据
[00:08:21,000] 然后你每年你都这样选
[00:08:23,000] 然后到年底你就调一次仓
[00:08:24,000] 对吧
[00:08:25,000] 因为到年底他就会变化
[00:08:26,000] 然后你就看过去
[00:08:27,000] 比如说过去10年
[00:08:28,000] 你会发现OK
[00:08:29,000] 大使职收益率是怎么样
[00:08:31,000] 小使职收益率是怎么样的
[00:08:32,000] 哦
[00:08:33,000] 就是我的理解就是你基于
[00:08:35,000] 这么多只股票
[00:08:36,000] 这么多年的数据
[00:08:37,000] 然后你把你的想法
[00:08:39,000] 写到代码里面去
[00:08:40,000] 是的
[00:08:41,000] 再用那些数据套进去
[00:08:42,000] 一看结果
[00:08:43,000] 对
[00:08:44,000] 怎么样子的
[00:08:45,000] 是的
[00:08:46,000] 如果这个结果
[00:08:47,000] 你选一个你认为比较好的结果
[00:08:48,000] 这个去投的话
[00:08:49,000] 他可能往后走的趋势
[00:08:50,000] 也是大概率是这样的
[00:08:51,000] 对
[00:08:52,000] 是的
[00:08:53,000] 这个就是一个最简单
[00:08:54,000] 或者最基础的一个
[00:08:55,000] 对一个概念
[00:08:56,000] 再往后来
[00:08:57,000] 这里面还有哪些细节
[00:08:58,000] 或者说
[00:08:59,000] 每个人的竞争力在哪里
[00:09:00,000] 再往后
[00:09:01,000] 比如说
[00:09:02,000] 比如说一方面
[00:09:03,000] 就我刚刚说这个例子
[00:09:04,000] 其实你还可以去做
[00:09:05,000] 很多的拓展
[00:09:06,000] 比如说你
[00:09:07,000] 不仅仅是看两组
[00:09:08,000] 比如说你看十组
[00:09:09,000] 如果说它的规律是单调的
[00:09:11,000] 那是不是就说明
[00:09:12,000] 你发现的规律
[00:09:13,000] 还更加的稳固
[00:09:14,000] 然后包括
[00:09:15,000] 我们刚刚说的
[00:09:16,000] 这个是一个现象
[00:09:18,000] 其实我们就称之为因子
[00:09:19,000] 其实你还
[00:09:20,000] 有可能还可以发现
[00:09:21,000] 别的因子
[00:09:22,000] 那这些因子
[00:09:23,000] 他们组合起来会怎么样
[00:09:24,000] 再增加条件
[00:09:25,000] 或者是改变条件
[00:09:26,000] 或者是等等
[00:09:27,000] 当然这些都是比较
[00:09:29,000] 就是比较简单
[00:09:30,000] 你像我刚刚跟你讲的
[00:09:31,000] 比如说市值这种
[00:09:32,000] 比如说市值因子
[00:09:33,000] 价值因子等等的
[00:09:35,000] 然后你还可以
[00:09:36,000] 做各种组合
[00:09:37,000] 比如说有很多人觉得
[00:09:38,000] 技术分析很有用
[00:09:39,000] 对吧
[00:09:40,000] 什么均线
[00:09:41,000] 什么这个顶
[00:09:42,000] 什么那个底什么的
[00:09:43,000] 就比如说你有一套
[00:09:44,000] 技术分析来
[00:09:45,000] 做指标的
[00:09:46,000] 这种体系
[00:09:47,000] 那你也可以去把它
[00:09:48,000] 用量化来做测试
[00:09:49,000] 对不对
[00:09:50,000] 那它好不好试
[00:09:51,000] 那比你就是
[00:09:52,000] 凭感觉
[00:09:53,000] 效率要高多了
[00:09:54,000] 而且要准确得多
[00:09:55,000] 对
[00:09:56,000] 因为它一下子
[00:09:57,000] 把你以往的所有的数据
[00:09:58,000] 很准确的告诉你了
[00:09:59,000] 对是的
[00:10:00,000] 那这个东西
[00:10:01,000] 它对你入市的时机
[00:10:03,000] 有要求吗
[00:10:04,000] 是这样的
[00:10:05,000] 其实基本上
[00:10:06,000] 量化来说
[00:10:07,000] 绝大部分都是
[00:10:08,000] 专注于所谓的节面
[00:10:09,000] 就是我在此时此刻
[00:10:11,000] 我是可以预测这些股票
[00:10:13,000] 未来哪个收益
[00:10:14,000] 会相对高一些
[00:10:15,000] 就节面
[00:10:16,000] 比如说此时此刻
[00:10:17,000] A股这五千多只股票
[00:10:19,000] 我们可以一定程度上预测
[00:10:21,000] 在未来一段时间内
[00:10:22,000] 他们的相对收益
[00:10:24,000] 但是绝对收益
[00:10:25,000] 是预测不了
[00:10:26,000] 绝对收益
[00:10:27,000] 就是社交时间上的问题
[00:10:28,000] 也就是说
[00:10:29,000] 我们可以预测哪些股票
[00:10:30,000] 会好一些
[00:10:31,000] 哪些股票会差一些
[00:10:32,000] 所以说我们量化里面
[00:10:33,000] 这样最重要的概念
[00:10:34,000] 就是超额收益
[00:10:35,000] 比如说你看那些
[00:10:36,000] 大的那些私膜量化基金
[00:10:38,000] 他们的那些大的产品
[00:10:39,000] 都叫什么
[00:10:40,000] 比如说中正500增强
[00:10:41,000] 中正一千增强
[00:10:42,000] 最后得到的结果就是
[00:10:44,000] 它可以每年都比中正500跑赢
[00:10:46,000] 比如说15%-20%
[00:10:48,000] 这个就是我们的一个
[00:10:49,000] 叫做超额收益
[00:10:50,000] 至于说中正500本身
[00:10:52,000] 是掌势地
[00:10:53,000] 那就是这个东西
[00:10:54,000] 很难预测
[00:10:55,000] 但是你想
[00:10:56,000] 你如果说你每年
[00:10:57,000] 都可以跑赢这么多
[00:10:58,000] 那你的收益
[00:10:59,000] 其实相当可玩了
[00:11:00,000] 而且你的这个收益
[00:11:01,000] 超额收益
[00:11:03,000] 它是不依赖市场行情的
[00:11:04,000] 比如说今年
[00:11:05,000] 中正500是涨
[00:11:06,000] 那你就涨得更多
[00:11:07,000] 如果它是跌
[00:11:08,000] 那你可能跌得更少
[00:11:10,000] 是你有可能还赚钱
[00:11:11,000] 而且长期来的话
[00:11:12,000] 你的这个收益
[00:11:13,000] 累少去
[00:11:14,000] 那你就是一个只收增长的
[00:11:15,000] 那现在就是
[00:11:16,000] 其实这个东西
[00:11:17,000] 也存在了很多年了
[00:11:18,000] 是吧
[00:11:19,000] 实际上有这么多人
[00:11:20,000] 在研究这东西
[00:11:21,000] 这么大批量的人
[00:11:22,000] 在做这个
[00:11:23,000] 你能从中
[00:11:24,000] 获得这些超额
[00:11:25,000] 所以你比人家
[00:11:26,000] 强的点在哪里
[00:11:27,000] 其实这个问题
[00:11:28,000] 其实是一个
[00:11:29,000] 非常非常重要的一个问题
[00:11:30,000] 我的答案就是这样的
[00:11:32,000] 就是我的水平
[00:11:33,000] 肯定没有那些机构高
[00:11:34,000] 但是我也不需要水平比机构高
[00:11:36,000] 我只要水平比散户高
[00:11:37,000] 就可以了
[00:11:38,000] 其实说白了
[00:11:39,000] 就是A股它是一个
[00:11:40,000] 比如说我这个水平
[00:11:41,000] 我到每股做的量
[00:11:42,000] 肯定是做不了的
[00:11:43,000] 因为每股大量都是机构
[00:11:45,000] 大量的量化基金在那边
[00:11:46,000] 就是护傻
[00:11:47,000] 那你根本就搞不过
[00:11:48,000] 但是A股是散户
[00:11:49,000] 是特别多的
[00:11:50,000] 而且比如说你做小盘股
[00:11:52,000] 那散户更多
[00:11:53,000] 那几乎全是散户
[00:11:54,000] 说白了
[00:11:55,000] 还是一个
[00:11:56,000] 狼少肉多的一个状态
[00:11:57,000] 所以说你在这里面
[00:11:59,000] 还是可以获得非常大的空间
[00:12:01,000] 而且你相对机构来说
[00:12:02,000] 就是你水平肯定不如他们
[00:12:03,000] 但是你也有一些
[00:12:05,000] 可以叫优势吧
[00:12:07,000] 比如说最简单的一个
[00:12:09,000] 基本上任何量化的策略
[00:12:10,000] 都是非常吃策略容量的
[00:12:12,000] 就是你的容量一上去
[00:12:14,000] 你的收益基本上都会降低
[00:12:16,000] 比如说一些小盘股
[00:12:18,000] 比如说它几十亿市值
[00:12:20,000] 它每天成交我的可能
[00:12:21,000] 比如说一两亿
[00:12:22,000] 这都算比较多的
[00:12:23,000] 不好的时候
[00:12:24,000] 有时候连一千万都不到
[00:12:25,000] 那你说一个机构
[00:12:26,000] 比如说它有几十亿
[00:12:27,000] 有100亿的资金
[00:12:28,000] 你做不了
[00:12:29,000] 对
[00:12:30,000] 它买100只
[00:12:31,000] 它一直也得卖1亿
[00:12:32,000] 对吧
[00:12:33,000] 那它就做不了了
[00:12:34,000] 所以说一个就是
[00:12:35,000] 可能说难听点
[00:12:36,000] 就是A国的韭菜还是很多
[00:12:38,000] 尤其是小盘股
[00:12:39,000] 小微盘股
[00:12:40,000] 韭菜特别多
[00:12:41,000] 有一些小的机构
[00:12:42,000] 他们可以在里面玩一玩
[00:12:43,000] 但是大的机构是玩不了的
[00:12:45,000] 所以还是有很大的
[00:12:46,000] 这种生存空间
[00:12:47,000] 但是比如说
[00:12:48,000] 那你说我的水平
[00:12:49,000] 那肯定是不如机构
[00:12:50,000] 这个是100%
[00:12:51,000] 这个肯定是有
[00:12:52,000] 这种辞职失明的
[00:12:54,000] 那它机构里面
[00:12:55,000] 比方说它很有经验
[00:12:56,000] 很有实力的一个
[00:12:57,000] 搞这么量化的
[00:12:58,000] 它为什么不自己做呢
[00:12:59,000] 其实最重要点就是
[00:13:00,000] 你首先你要有本金
[00:13:01,000] 对吧
[00:13:02,000] 因为你在那
[00:13:03,000] 可能整个这个机构
[00:13:05,000] 可能有700亿
[00:13:06,000] 那你比如说
[00:13:07,000] 你干得好
[00:13:08,000] 拿提成
[00:13:09,000] 或者年终奖
[00:13:10,000] 那有可能好的时候
[00:13:11,000] 几百万上千万有可能
[00:13:12,000] 但是你自己跑
[00:13:13,000] 你再怎么着
[00:13:14,000] 要有本金
[00:13:15,000] 其实像我们刚刚的
[00:13:16,000] 那个收益率
[00:13:17,000] 其实它肯定也是
[00:13:18,000] 有一些运气成分的
[00:13:19,000] 因为比如说
[00:13:20,000] 25年好像很好
[00:13:21,000] 那你平常的话
[00:13:22,000] 可能比如说你一年
[00:13:23,000] 比如说下午十个点
[00:13:24,000] 那你本金少
[00:13:25,000] 那肯定
[00:13:26,000] 比如说就呆在那个
[00:13:27,000] 对吧
[00:13:28,000] 就是说对那种
[00:13:29,000] 有实力的量化金
[00:13:30,000] 金连说
[00:13:31,000] 它在那里面干的
[00:13:32,000] 收益比它自己搞还高
[00:13:33,000] 对
[00:13:34,000] 它拿佣金是吧
[00:13:35,000] 对
[00:13:36,000] 是的
[00:13:37,000] 而且那个是
[00:13:38,000] 捍卵宝说的
[00:13:39,000] 比如说你自己干
[00:13:40,000] 那其实压力很大的
[00:13:41,000] 好那回到你自己
[00:13:42,000] 这上面来
[00:13:43,000] 你的一个成长
[00:13:44,000] 跟经历是什么样子
[00:13:45,000] 从一开始怎么入手的
[00:13:46,000] 然后我赚了多少钱
[00:13:47,000] 投了多少钱
[00:13:48,000] 模型的想法
[00:13:49,000] 什么样子
[00:13:50,000] 方便跟大家说吗
[00:13:51,000] 因为这个时候
[00:13:52,000] 你的核心竞争力度
[00:13:53,000] 其实也没啥
[00:13:54,000] 其实其实我做的
[00:13:55,000] 也是比较烂大街的东西
[00:13:56,000] 因为说白了
[00:13:57,000] 不烂大街的东西
[00:13:58,000] 我也不会对吧
[00:13:59,000] 好
[00:14:00,000] 但是即使现在
[00:14:01,000] 就比较烂大街
[00:14:02,000] 加上自己的一点思考在里面
[00:14:03,000] 就能赚那么多钱
[00:14:04,000] 对
[00:14:05,000] 因为
[00:14:06,000] 可能这样说
[00:14:07,000] 确实又有点难听
[00:14:08,000] 就是
[00:14:09,000] 还是久太多
[00:14:10,000] 对 还是久太多
[00:14:11,000] 因为我之前
[00:14:12,000] 我看那个
[00:14:13,000] 就是那个西蒙斯
[00:14:14,000] 就是非常著名的
[00:14:15,000] 量化基金的一个
[00:14:16,000] 就是他的一个专辑里面
[00:14:17,000] 就有一个早期的
[00:14:18,000] 一个北国的
[00:14:19,000] 一个量化先驱
[00:14:20,000] 当他发现了事
[00:14:21,000] 他说
[00:14:22,000] 如果对于大众的愚蠢
[00:14:23,000] 感到激惊
[00:14:24,000] 又歇息
[00:14:25,000] 其实就是这样
[00:14:26,000] 就是
[00:14:27,000] 很多散户
[00:14:28,000] 真的就是
[00:14:29,000] 他们真的什么都不懂
[00:14:30,000] 他们就敢买
[00:14:31,000] 就是不要说量化
[00:14:33,000] 就是他们基本的什么
[00:14:34,000] 批译批逼
[00:14:35,000] 什么东西
[00:14:36,000] 他们都不知道
[00:14:37,000] 就是一个代码就敢买
[00:14:39,000] 就别人一推进
[00:14:40,000] 我就买
[00:14:41,000] 对
[00:14:42,000] 30888
[00:14:43,000] 对吧
[00:14:44,000] 对
[00:14:45,000] 然后他们就卖
[00:14:46,000] 然后我的话就是
[00:14:47,000] 其实像我说
[00:14:48,000] 就是最开始
[00:14:49,000] 也是去看一下量化基金
[00:14:50,000] 然后后面的话
[00:14:51,000] 主要的途径
[00:14:52,000] 其实最主要是在
[00:14:54,000] 网上学习的
[00:14:55,000] 就比如说
[00:14:56,000] 现在最有名的
[00:14:57,000] 等一下
[00:14:58,000] 本期视频为
[00:14:59,000] 每月一期的充电视频
[00:15:00,000] 目前充一次
[00:15:01,000] 可以看三期
[00:15:02,000] 连续包约
[00:15:03,000] 更是只要10块钱
[00:15:04,000] 10块钱
[00:15:05,000] 买不了上当
[00:15:06,000] 买不了售片
[00:15:07,000] 还能当上徐师傅的大哥
[00:15:08,000] 有兴趣的赶紧下单
[00:15:10,000] 数量有限
[00:15:11,000] 预购素虫
[00:15:12,000] 还有用苹果手机的牢房
[00:15:13,000] 你们打开网页操作一下
[00:15:15,000] 要不然会被扣走30%
[00:15:17,000] 你们的支持
[00:15:18,000] 是我更新最大的动力
[00:15:19,000] 爱你
[00:15:25,539] 最重量化的网站
[00:15:26,539] 应该一个叫巨宽
[00:15:27,539] 还有叫果仁
[00:15:29,539] 这种网站就是说
[00:15:30,539] 首先他会给你介绍
[00:15:31,539] 比如说量化一些基本知识
[00:15:33,539] 然后他也会教你怎么携带
[00:15:35,539] 包括论坛上
[00:15:36,539] 有很多人分享他们的策略
[00:15:38,539] 然后你也可以跟大家交流等等
[00:15:39,539] 我就是通过
[00:15:40,539] 其实最主要的还是巨宽
[00:15:42,539] 通过这个取决住的门
[00:15:44,539] 看他们就是说
[00:15:45,539] 讲那些东西
[00:15:46,539] 然后慢慢就开始接触
[00:15:47,539] 然后慢慢就
[00:15:48,539] 其实我最开始
[00:15:49,539] 应该是在雪球
[00:15:51,539] 然后上面也有一些
[00:15:52,539] 做量化的一些大V
[00:15:54,539] 然后包括
